Generator Number,Bus,Technology,Capacity (MW),Ramp up (MW/h),Ramp down (MW/h),Min down time,Min up time,Minimum output (MW),Generation in time period 0,Cost ($/MW),Cost curve segment 2 coefficient ($/MW),Cost curve segment 3 coefficient ($/MW),Capacity of segment 1 of the cost curve (MW),Capacity of segment 2 of the cost curve (MW),Capacity of segment 3 of the cost curve (MW),Cost step 1 of start-up cost curve ($),Cost step 2 of start-up cost curve ($),Cost step 3 of start-up cost curve ($),Cost step 4 of start-up cost curve ($),Cost step 5 of start-up cost curve ($),Cost step 6 of start-up cost curve ($),Cost step 7 of start-up cost curve ($),Cost step 8 of start-up cost curve ($),Time step 1 of start-up cost curve (h),Time step 2 of start-up cost curve (h),Time step 3 of start-up cost curve (h),Time step 4 of start-up cost curve (h),Time step 5 of start-up cost curve (h),Time step 6 of start-up cost curve (h),Time step 7 of start-up cost curve (h),Time step 8 of start-up cost curve (h),Load (MW)
1,101,OCGT,20,90,100,1,2,8,20,28.967,29.243,29.703,6.67,6.67,6.67,25,28,31,34,37,40,43,46,1,2,3,4,5,6,7,8,1206
2,101,CCGT,76,120,120,2,3,40,0,18.433,19.238,20.112,25.33,25.33,25.33,44,50.86,57.71,64.57,71.43,78.29,85.14,92,1,2,3,4,5,6,7,8,1134
3,102,OCGT,20,90,100,1,2,8,0,28.947,29.223,29.683,6.67,6.67,6.67,25,28,31,34,37,40,43,46,1,2,3,4,5,6,7,8,1080
4,102,CCGT,76,120,120,2,3,40,0,18.403,19.208,20.082,25.33,25.33,25.33,44,50.86,57.71,64.57,71.43,78.29,85.14,92,1,2,3,4,5,6,7,8,1062
5,107,CCGT,100,420,420,2,4,40,100,17.5904,18.2804,18.9658,33.33,33.33,33.33,60,68.57,77.14,85.71,94.29,102.86,111.43,120,1,2,3,4,5,6,7,8,1062
6,107,CCGT,100,420,420,2,4,40,90,17.6004,18.2904,18.9758,33.33,33.33,33.33,60,68.57,77.14,85.71,94.29,102.86,111.43,120,1,2,3,4,5,6,7,8,1080
7,113,CCGT,197,310,310,3,4,104,177,17.1925,17.7077,18.2252,65.67,65.67,65.67,110,127.14,144.29,161.43,178.57,195.71,212.86,230,1,2,3,4,5,6,7,8,1332
8,113,CCGT,197,310,310,3,4,104,0,17.2125,17.7277,18.2452,65.67,65.67,65.67,110,127.14,144.29,161.43,178.57,195.71,212.86,230,1,2,3,4,5,6,7,8,1548
9,115,OCGT,12,60,70,1,2,5.4,12,29.453,30.12,30.856,4,4,4,20,22.86,25.71,28.57,31.43,34.29,37.14,40,1,2,3,4,5,6,7,8,1710
10,115,IGCC,155,70,80,16,24,54.24,134,23.8096,24.5249,25.2402,51.67,51.67,51.67,562,775.71,989.43,1203.14,1416.86,1630.57,1844.29,2058,1,2,3,4,5,6,7,8,1728
11,116,IGCC,155,70,80,16,24,54.24,123,23.8196,24.5349,25.2502,51.67,51.67,51.67,562,775.71,989.43,1203.14,1416.86,1630.57,1844.29,2058,1,2,3,4,5,6,7,8,1728
12,118,Nuclear,400,280,280,24,168,100,0,6.960789,7.229889,7.498989,133.33,133.33,133.33,35000,35714.29,36428.57,37142.86,37857.14,38571.43,39285.71,40000,1,2,3,4,5,6,7,8,1710
13,121,Nuclear,400,280,280,24,168,100,377,6.970789,7.239889,7.508989,133.33,133.33,133.33,35000,35714.29,36428.57,37142.86,37857.14,38571.43,39285.71,40000,1,2,3,4,5,6,7,8,1710
14,122,CCGT,50,120,120,1,2,26,47,28.313,29.256,30.498,16.67,16.67,16.67,30,34.29,38.57,42.86,47.14,51.43,55.71,60,1,2,3,4,5,6,7,8,1710
15,123,IGCC,155,70,80,16,24,54.24,0,23.8296,24.5449,25.2602,51.67,51.67,51.67,562,775.71,989.43,1203.14,1416.86,1630.57,1844.29,2058,1,2,3,4,5,6,7,8,1674
16,123,Coal,350,140,140,5,8,140,0,26.2131,26.7076,27.1998,116.67,116.67,116.67,5170,6154.86,7139.71,8124.57,9109.43,10094.29,11079.14,12064,1,2,3,4,5,6,7,8,1692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782
,,total capacity,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134
