Generator Number,Bus,Technology,Capacity (MW),Ramp up (MW/h),Ramp down (MW/h),Min down time,Min up time,Minimum output (MW),Generation in time period 0,Cost ($/MW),Time ,Percentage of Peak Load %,Load (MW),,,,,,,,,,,,,,,,,,,1800
1,101,OCGT,20,20,20,1,2,8,20,28.967,1,0.67,335,,,,,,,,,,,,,,,,,,,1728
2,101,CCGT,76,70,70,2,3,40,0,18.433,2,0.63,315,,,,,,,,,,,,,,,,,,,1638
3,102,OCGT,20,20,20,1,2,8,0,28.947,3,0.6,300,,,,,,,,,,,,,,,,,,,1494
4,102,CCGT,76,70,70,2,3,40,0,18.403,4,0.59,295,,,,,,,,,,,,,,,,,,,1314
5,107,CCGT,100,100,100,2,4,40,100,17.5904,5,0.59,295,,,,,,,,,,,,,,,,,,,1134
6,107,CCGT,100,100,100,2,4,40,90,17.6004,6,0.6,300,,,,,,,,,,,,,,,,,,,
7,113,CCGT,197,190,190,3,4,104,177,17.1925,7,0.74,370,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,0.86,430,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,9,0.95,475,,,,,,,,,,,,,,,,,,,
,,sum,589,570,570,,,,,,10,0.96,480,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,11,0.96,480,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12,0.95,475,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13,0.95,475,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14,0.95,475,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,15,0.93,465,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16,0.94,470,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,17,0.99,495,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,18,1,500,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,19,1,500,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20,0.96,480,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,21,0.91,455,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,22,0.83,415,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,23,0.73,365,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,24,0.63,315,,,,,,,,,,,,,,,,,,,
